,Unnamed: 0,Unnamed: 0.1,Unnamed: 33,congruent,corrAns,date,expName,feedback_2.started,feedback_2.stopped,frameRate,instr1.started,instr1.stopped,instrText.started,instrText.stopped,letterColor,participant,practice.thisIndex,practice.thisN,practice.thisRepN,practice.thisTrialN,psychopyVersion,resp.corr,resp.keys,resp.rt,resp.started,resp.stopped,session,text,thanksText.started,thanksText.stopped,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,word.started,word.stopped
75,75.0,75.0,,cong,down,2020_Apr_04_1340,stroop,20.01229530799901,None,59.51995277192287,,,,,green,2.0,5.0,3.0,0.0,3.0,2020.1.2,1.0,down,0.3743392940086778,19.612627833004808,None,1.0,green,,,,,,,19.612627833004808,None
76,76.0,76.0,,incong,down,2020_Apr_04_1340,stroop,22.389796728995858,None,59.51995277192287,,,,,green,2.0,2.0,4.0,0.0,4.0,2020.1.2,1.0,down,0.868126982008107,21.485930087015724,None,1.0,red,,,,,,,21.485930087015724,None
77,77.0,77.0,,incong,left,2020_Apr_04_1340,stroop,24.55009203701047,None,59.51995277192287,,,,,red,2.0,8.0,5.0,0.0,5.0,2020.1.2,1.0,left,0.6477257039805409,23.87838260098943,None,1.0,blue,,,,,,,23.87838260098943,None
78,78.0,78.0,,cong,down,2020_Apr_04_1340,stroop,26.88248944701627,None,59.51995277192287,,,,,green,2.0,6.0,6.0,0.0,6.0,2020.1.2,1.0,down,0.7959341679816134,26.048871672013767,None,1.0,green,,,,,,,26.048871672013767,None
79,79.0,79.0,,cong,right,2020_Apr_04_1340,stroop,29.066269399016164,None,59.51995277192287,,,,,blue,2.0,11.0,7.0,0.0,7.0,2020.1.2,1.0,right,0.6777031189994887,28.34711690299445,None,1.0,blue,,,,,,,28.34711690299445,None
80,80.0,80.0,,incong,left,2020_Apr_04_1340,stroop,31.267851244017947,None,59.51995277192287,,,,,red,2.0,4.0,8.0,0.0,8.0,2020.1.2,1.0,left,0.6829030159860849,30.547811269992962,None,1.0,green,,,,,,,30.547811269992962,None
81,81.0,81.0,,incong,down,2020_Apr_04_1340,stroop,34.09813953700359,None,59.51995277192287,,,,,green,2.0,9.0,9.0,0.0,9.0,2020.1.2,1.0,down,1.2956134019768797,32.76315756799886,None,1.0,blue,,,,,,,32.76315756799886,None
82,82.0,82.0,,incong,right,2020_Apr_04_1340,stroop,36.267072135990034,None,59.51995277192287,,,,,blue,2.0,3.0,10.0,0.0,10.0,2020.1.2,1.0,right,0.6672715909953695,35.57832201899146,None,1.0,red,,,,,,,35.57832201899146,None
83,83.0,83.0,,cong,right,2020_Apr_04_1340,stroop,38.50239947999944,None,59.51995277192287,,,,,blue,2.0,10.0,11.0,0.0,11.0,2020.1.2,1.0,right,0.7284098250092939,37.74925043201074,None,1.0,blue,,,,,,,37.74925043201074,None
84,84.0,84.0,,incong,right,2020_Apr_04_1340,stroop,,,59.51995277192287,,,39.53393412099104,None,blue,2.0,,,,,2020.1.2,1.0,right,1.5266199830221012,41.362807316996616,None,1.0,green,,,7.0,0.0,0.0,0.0,41.362807316996616,None
