,Unnamed: 0,Unnamed: 25,congruent,corrAns,date,expName,frameRate,instrText.started,instrText.stopped,letterColor,participant,psychopyVersion,resp.corr,resp.keys,resp.rt,resp.started,resp.stopped,session,text,thanksText.started,thanksText.stopped,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,word.started,word.stopped
98,38.0,,0.0,right,2020_Apr_04_0836,stroop,59.98458072042144,,,blue,2.0,2020.1.2,1.0,right,0.8207673759898171,24.7850832400145,None,1.0,green,,,3.0,8.0,1.0,2.0,24.7850832400145,None
99,39.0,,1.0,down,2020_Apr_04_0836,stroop,59.98458072042144,,,green,2.0,2020.1.2,1.0,down,0.8734819339879323,26.117317489988647,None,1.0,green,,,2.0,9.0,1.0,3.0,26.117317489988647,None
100,40.0,,1.0,right,2020_Apr_04_0836,stroop,59.98458072042144,,,blue,2.0,2020.1.2,1.0,right,1.2083848890033548,27.500600703991946,None,1.0,blue,,,4.0,10.0,1.0,4.0,27.500600703991946,None
101,41.0,,0.0,down,2020_Apr_04_0836,stroop,59.98458072042144,,,green,2.0,2020.1.2,1.0,down,1.8687637029797768,29.21624484201311,None,1.0,red,,,1.0,11.0,1.0,5.0,29.21624484201311,None
102,42.0,,1.0,down,2020_Apr_04_0836,stroop,59.98458072042144,,,green,2.0,2020.1.2,1.0,down,0.565896983986022,31.599888461001683,None,1.0,green,,,2.0,12.0,2.0,0.0,31.599888461001683,None
103,43.0,,1.0,right,2020_Apr_04_0836,stroop,59.98458072042144,,,blue,2.0,2020.1.2,1.0,right,0.5785625040007291,32.66907275500125,None,1.0,blue,,,4.0,13.0,2.0,1.0,32.66907275500125,None
104,44.0,,0.0,down,2020_Apr_04_0836,stroop,59.98458072042144,,,green,2.0,2020.1.2,1.0,down,1.0941943250072654,33.749477559991654,None,1.0,red,,,1.0,14.0,2.0,2.0,33.749477559991654,None
105,45.0,,0.0,left,2020_Apr_04_0836,stroop,59.98458072042144,,,red,2.0,2020.1.2,1.0,left,0.7751990169927012,35.34946346201468,None,1.0,blue,,,5.0,15.0,2.0,3.0,35.34946346201468,None
106,46.0,,0.0,right,2020_Apr_04_0836,stroop,59.98458072042144,,,blue,2.0,2020.1.2,1.0,right,0.6989805630000774,36.63563516299473,None,1.0,green,,,3.0,16.0,2.0,4.0,36.63563516299473,None
107,47.0,,1.0,left,2020_Apr_04_0836,stroop,59.98458072042144,,,red,2.0,2020.1.2,1.0,left,0.6593042470049113,37.83341769198887,None,1.0,red,,,0.0,17.0,2.0,5.0,37.83341769198887,None
108,48.0,,1.0,down,2020_Apr_04_0836,stroop,59.98458072042144,,,green,2.0,2020.1.2,1.0,down,0.6262695339974016,39.00043889600784,None,1.0,green,,,2.0,18.0,3.0,0.0,39.00043889600784,None
109,49.0,,1.0,right,2020_Apr_04_0836,stroop,59.98458072042144,,,blue,2.0,2020.1.2,1.0,right,0.6271650729759131,40.13344848799171,None,1.0,blue,,,4.0,19.0,3.0,1.0,40.13344848799171,None
110,50.0,,0.0,down,2020_Apr_04_0836,stroop,59.98458072042144,,,green,2.0,2020.1.2,1.0,down,1.2810242249979638,41.266396630002426,None,1.0,red,,,1.0,20.0,3.0,2.0,41.266396630002426,None
111,51.0,,1.0,left,2020_Apr_04_0836,stroop,59.98458072042144,,,red,2.0,2020.1.2,1.0,left,0.8156221290118992,43.050916295003844,None,1.0,red,,,0.0,21.0,3.0,3.0,43.050916295003844,None
112,52.0,,0.0,left,2020_Apr_04_0836,stroop,59.98458072042144,,,red,2.0,2020.1.2,1.0,left,1.286366187996464,44.37009004701394,None,1.0,blue,,,5.0,22.0,3.0,4.0,44.37009004701394,None
113,53.0,,0.0,right,2020_Apr_04_0836,stroop,59.98458072042144,,,blue,2.0,2020.1.2,1.0,right,0.5561911969853099,46.16625761901378,None,1.0,green,,,3.0,23.0,3.0,5.0,46.16625761901378,None
114,54.0,,1.0,right,2020_Apr_04_0836,stroop,59.98458072042144,,,blue,2.0,2020.1.2,1.0,right,0.5614799539907835,47.23373552699922,None,1.0,blue,,,4.0,24.0,4.0,0.0,47.23373552699922,None
115,55.0,,0.0,right,2020_Apr_04_0836,stroop,59.98458072042144,,,blue,2.0,2020.1.2,1.0,right,0.3758238550217357,48.29955898199114,None,1.0,green,,,3.0,25.0,4.0,1.0,48.29955898199114,None
116,56.0,,0.0,down,2020_Apr_04_0836,stroop,59.98458072042144,,,green,2.0,2020.1.2,1.0,down,0.5663205290038604,49.18590050301282,None,1.0,red,,,1.0,26.0,4.0,2.0,49.18590050301282,None
117,57.0,,1.0,down,2020_Apr_04_0836,stroop,59.98458072042144,,,green,2.0,2020.1.2,1.0,down,0.9979840820014942,50.27032390100065,None,1.0,green,,,2.0,27.0,4.0,3.0,50.27032390100065,None
118,58.0,,1.0,left,2020_Apr_04_0836,stroop,59.98458072042144,,,red,2.0,2020.1.2,1.0,left,0.5851000909751747,51.76615160598885,None,1.0,red,,,0.0,28.0,4.0,4.0,51.76615160598885,None
